agent_id,svi,arrived_at,end_state,original_mode,final_mode,status,evacuation_time_minutes,total_distance_m,start_lat,start_lon,end_lat,end_lon,fail_reason,started_at,used_public_transport,segments_completed,total_segments,start_in_evacuation_area,end_in_evacuation_area,total_wait_time_minutes,total_transit_time_minutes,total_walking_time_minutes,stations_visited,routes_taken,target_destination_name,target_destination_type,target_destination_lat,target_destination_lon,target_destination_distance_m,destination_category,is_home_destination
42_0341,0.3763385772689017,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,201.81410863770031,48.7534236,2.3411287,48.7525833,2.339569,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,38839.69970051081,Community,false
42_0380,0.5942217443566822,2025-09-01T08:05:00,,TWO_WHEELER,WALKING,EVACUATING,5.0,244.17584248054968,48.9137413,2.3098025,48.9133827,2.3068727,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Arthieul,school,49.1552855,1.8049165,45554.6216255303,Educational,false
42_0246,0.5477303546147065,2025-09-01T08:05:00,,BIKE,BIKE,EVACUATING,5.0,408.50389261315763,48.8376613,2.3451888,48.8341578,2.3448388,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,47814.26480610731,Community,false
42_0562,0.6594963817368622,2025-09-01T08:05:00,,BIKE,BIKE,EVACUATING,5.0,422.3331238548236,48.8666152,2.3285827,48.8663538,2.3241906,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,48672.32861117393,Educational,false
42_0521,0.6055572761365129,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,165.2800147399957,48.8462146,2.4285243,48.8471867,2.4301827,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Église Saint-Claude,place_of_worship,48.8994947,3.0405812,45163.469880058525,Religious,false
42_0224,0.5857993855125788,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,412.51327681835306,48.7322725,2.2661387,48.7295706,2.2685343,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,34863.00107160589,Educational,false
42_0516,0.6792759459009748,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,247.63031447223887,48.8912488,2.3723522,48.892146,2.3749211,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,47725.815663316156,Educational,false
42_0148,0.5197492225840902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,332.0221175006236,48.9323771,2.060024,48.9326566,2.0564068,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,27810.076472452598,Educational,false
42_0264,0.7199620679130161,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,101.27780204977331,48.8982454,2.247053,48.8988029,2.2462138,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Collège Louis Pasteur,school,48.9952717,1.6924673,41911.67587555,Educational,false
42_0591,0.5006924423784825,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,561.2357032566468,49.0336655,2.0877215,49.0351136,2.0827537,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Centre d'Incendie et de Secours de Magny-en-Vexin,fire_station,49.1467607,1.7880204,25127.246861066553,Government,false
42_0535,0.33910631199370717,2025-09-01T08:05:00,,BIKE,BIKE,EVACUATING,5.0,325.2503955924014,48.6195698,2.410976,48.617434,2.4106598,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École maternelle Jean de la Fontaine,school,48.4044445,2.4666045,24328.32117349818,Educational,false
42_0380,0.5942217443566822,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,796.9436050893436,48.9139584,2.3095763,48.9151123,2.3017409,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Centre d'Incendie et de Secours de Magny-en-Vexin,fire_station,49.1467607,1.7880204,46017.14696486037,Government,false
42_0246,0.5477303546147065,2025-09-01T08:05:00,,BIKE,BIKE,EVACUATING,5.0,408.50389261315763,48.8376613,2.3451888,48.8341578,2.3448388,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,47814.26480610731,Community,false
42_0542,0.39813501208620156,2025-09-01T08:05:00,,TWO_WHEELER,WALKING,EVACUATING,5.0,217.96825574676697,48.8239716,2.2728289,48.8221541,2.273486,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,45138.47419381108,Community,false
42_0449,0.5107720991488784,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,207.2586746122081,48.8888038,2.3734834,48.8894417,2.3749148,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,47687.384650616244,Educational,false
42_0112,0.5904376671660768,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,0.0,48.8482611,2.6011453,48.8482611,2.6011453,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Groupe Scolaire Fernand Picot,school,48.8244407,3.039645,32200.660717551862,Educational,false
42_0308,0.6954420220706902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,455.0921362187278,48.8837641,2.5316086,48.8821369,2.5373101,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Le Moulin Rompu,school,48.9519792,3.0190924,36422.14983621205,Educational,false
42_0416,0.6178679076260423,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,544.8910965638515,48.802867,2.4465073,48.8025472,2.445522,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Église Saint-Germain-d'Auxerre,place_of_worship,48.5840901,2.8963486,41036.185661671894,Religious,false
42_0233,0.41892034846269743,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,378.19359834184564,48.8162107,2.356917,48.8133745,2.3542443,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,45774.20231536715,Educational,false
42_0375,0.672311442873706,2025-09-01T08:05:00,,BUS,WALKING,EVACUATING,5.0,0.0,48.9334232,2.2402506,48.9334232,2.2402506,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Arthieul,school,49.1552855,1.8049165,40223.637206445885,Educational,false
42_0072,0.5482617419403351,2025-09-01T08:01:00,,WALKING,WALKING,PLANNING,5.0,0.0,48.8564956,2.3946715,48.8564956,2.3946715,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],"Safe Location (49.1111, 3.0966)",Safe Zone,49.111083,3.0965964,58536.36520947805,Evacuation,false
42_0206,0.4921736941599944,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,378.19359834184564,48.8162107,2.356917,48.8133745,2.3542443,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,45835.3412949874,Educational,false
42_0302,0.5962503078990803,2025-09-01T08:05:00,,PRIV_CAR_PASSENGER,CAR,EVACUATING,5.0,820.4434648330864,48.8419094,2.367868,48.8378411,2.3703684,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,48699.81970732245,Educational,false
42_0242,0.6782674454870304,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,173.5595291603578,48.8429282,2.3272328,48.8416753,2.3275593,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,48085.57016165432,Community,false
42_0533,0.47157676888604017,2025-09-01T08:05:00,,BIKE,BIKE,EVACUATING,5.0,469.0615181056356,48.8507755,2.3454775,48.8467973,2.3433478,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49286.49067457023,Community,false
42_0007,0.5267348757465914,2025-09-01T08:05:00,,TRAIN,WALKING,EVACUATING,5.0,234.5793864926526,48.8621669,2.3493687,48.8601791,2.3482981,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,50557.00666303338,Community,false
42_0288,0.634618052382138,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,440.87186553527295,48.8634952,2.4242645,48.8610232,2.4271333,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,44569.25653785131,Educational,false
